"autoservicio","comuna","direccion","empresa","precio","region","tipoGasolina","ultimaModificacion"
"false","","Cespedes Gonzalez 1685,Iquique","SHELL","970.0","Tarapacá","Gasolina 97","Thu Jun 24 10:12:28 PET 2021"
"true","","OHiggins 2280,Iquique","SHELL","971.0","Tarapacá","Gasolina 97","Thu Jun 24 09:54:02 PET 2021"
"false","","Manuel Rodrï¿½guez/Vivar 705,Iquique","SHELL","971.0","Tarapacá","Gasolina 97","Thu Jun 24 10:02:16 PET 2021"
"false","","VIVAR 402,Iquique","COPEC","973.0","Tarapacá","Gasolina 97","Thu Jun 24 07:20:57 PET 2021"
"false","","SITIO Nï¿½ 54-B, BARRIO INDUSTRIAL 54,Iquique","COPEC","973.0","Tarapacá","Gasolina 97","Wed Jun 23 23:40:25 PET 2021"
"true","","Salvador Allende 2102,Iquique","COPEC","973.0","Tarapacá","Gasolina 97","Wed Jun 23 23:30:55 PET 2021"
"false","","ANIBAL PINTO 1377,Iquique","COPEC","973.0","Tarapacá","Gasolina 97","Thu Jun 24 07:12:44 PET 2021"
"true","","Avda. Arturo Prat Chacon 1732,Iquique","COPEC","973.0","Tarapacá","Gasolina 97","Thu Jun 24 09:02:23 PET 2021"
"false","","Av. Arturo Prat 3415,Iquique","PETROBRAS","973.0","Tarapacá","Gasolina 97","Thu Jun 24 10:31:28 PET 2021"
"false","","Av. Arturo Prat 1656,Iquique","PETROBRAS","973.0","Tarapacá","Gasolina 97","Thu Jun 24 07:55:51 PET 2021"
"false","","Av. Tadeo Haenke 1808,Iquique","PETROBRAS","973.0","Tarapacá","Gasolina 97","Thu Jun 24 08:27:52 PET 2021"
"false","","Av. Salvador Allende esq. O'Higgins 0,Iquique","PETROBRAS","973.0","Tarapacá","Gasolina 97","Thu Jun 24 09:27:19 PET 2021"
"false","","Pedro Prado esq. Gómez Carreño 0,Iquique","PETROBRAS","973.0","Tarapacá","Gasolina 97","Thu Jun 24 11:31:06 PET 2021"
"true","","Avda. Arturo Prat 1850,Iquique","SHELL","973.0","Tarapacá","Gasolina 97","Thu Jun 24 09:53:42 PET 2021"
"false","","RUTA A-16 KM 32 / AVDA SANTA ROSA 0,Alto Hospicio","COPEC","973.0","Tarapacá","Gasolina 97","Thu Jun 24 08:21:53 PET 2021"
"false","","ALTO HOSPICIO, RUTA A 16 KM. 37,Alto Hospicio","COPEC","973.0","Tarapacá","Gasolina 97","Wed Jun 23 23:46:10 PET 2021"
"false","","Teniente Merino Correa 3945,Alto Hospicio","COPEC","973.0","Tarapacá","Gasolina 97","Wed Jun 23 23:38:37 PET 2021"
"false","","PANAMERICANA NORTE KM 1810,Pozo Almonte","COPEC","973.0","Tarapacá","Gasolina 97","Thu Jun 24 07:16:50 PET 2021"
"false","","AV. 27 DE ABRIL 00,Pica","COPEC","973.0","Tarapacá","Gasolina 97","Thu Jun 24 08:42:12 PET 2021"
"false","","Av. Los aromos 3115,Alto Hospicio","PETROBRAS","974.0","Tarapacá","Gasolina 97","Thu Jun 24 07:14:40 PET 2021"
"false","","Calle Comercio 53,Pozo Almonte","PETROBRAS","983.0","Tarapacá","Gasolina 97","Thu Jun 24 10:18:44 PET 2021"
"false","","PASTOR LORENZO PEREZ EX QUINTA SUR 1919,Iquique","Uligas","410.0","Tarapacá","GLP Vehicular","Mon Sep 26 15:48:37 PET 2016"
"false","","Santa Rosa de Molle 4004,Alto Hospicio","Uligas","410.0","Tarapacá","GLP Vehicular","Fri Oct 21 15:32:22 PET 2016"
"false","","AVDA.CIRCUNVALACION 720,Iquique","LIPIGAS","454.0","Tarapacá","GLP Vehicular","Fri Jun 04 09:54:21 PET 2021"
"false",""," Ruta A-616, Manzana C, Lote A 0,Alto Hospicio","ABASTIBLE","455.0","Tarapacá","GLP Vehicular","Thu Jun 17 16:40:55 PET 2021"
"false","","Pedro Prado 2210,Iquique","LIPIGAS","464.0","Tarapacá","GLP Vehicular","Thu Jun 10 08:30:11 PET 2021"
"false","","ALTO HOSPICIO, RUTA A 16 KM. 37,Alto Hospicio","COPEC","762.0","Tarapacá","Kerosene","Wed Jun 23 23:46:10 PET 2021"
"false","","Teniente Merino Correa 3945,Alto Hospicio","COPEC","762.0","Tarapacá","Kerosene","Wed Jun 23 23:38:37 PET 2021"
"false","","VIVAR 402,Iquique","COPEC","763.0","Tarapacá","Kerosene","Thu Jun 24 07:20:57 PET 2021"
"false","","Ruta A 616 2999,Alto Hospicio","Sin Bandera","638.0","Tarapacá","Petroleo Diesel","Thu Jun 24 07:54:33 PET 2021"
"false","","Avda. Santa Rosa de Molle 4054,Alto Hospicio","Sin Bandera","647.0","Tarapacá","Petroleo Diesel","Wed Jun 23 20:30:34 PET 2021"
"true","","OHiggins 2280,Iquique","SHELL","650.0","Tarapacá","Petroleo Diesel","Thu Jun 24 09:54:02 PET 2021"
